job.id n m mu max.k alpha evals max.evals time.passed PD repl type
365 100 4950 20 1 0.05 2e+05 2e+05 125.663 9814 5 euclidean
366 100 4950 20 1 0.05 2e+05 2e+05 131.701 9938 6 euclidean
367 100 4950 20 1 0.05 2e+05 2e+05 199.301 9900 7 euclidean
368 100 4950 20 1 0.05 2e+05 2e+05 156.718 9686 8 euclidean
369 100 4950 20 1 0.05 2e+05 2e+05 117.479 10088 9 euclidean
370 100 4950 20 1 0.05 2e+05 2e+05 191.959 9348 10 euclidean
371 100 4950 20 1 0.1 2e+05 2e+05 167.688 13512 1 euclidean
372 100 4950 20 1 0.1 2e+05 2e+05 129.77 13304 2 euclidean
373 100 4950 20 1 0.1 2e+05 2e+05 128.093 13720 3 euclidean
374 100 4950 20 1 0.1 2e+05 2e+05 129.995 13642 4 euclidean
375 100 4950 20 1 0.1 2e+05 2e+05 115.876 13396 5 euclidean
376 100 4950 20 1 0.1 2e+05 2e+05 129.634 13502 6 euclidean
377 100 4950 20 1 0.1 2e+05 2e+05 123.155 13336 7 euclidean
378 100 4950 20 1 0.1 2e+05 2e+05 154.859 13214 8 euclidean
379 100 4950 20 1 0.1 2e+05 2e+05 169.539 13284 9 euclidean
380 100 4950 20 1 0.1 2e+05 2e+05 159.321 13472 10 euclidean
381 100 4950 20 1 0.5 2e+05 2e+05 123.488 25264 1 euclidean
382 100 4950 20 1 0.5 2e+05 2e+05 200.305 24928 2 euclidean
383 100 4950 20 1 0.5 2e+05 2e+05 124.394 24714 3 euclidean
384 100 4950 20 1 0.5 2e+05 2e+05 128.736 25096 4 euclidean
385 100 4950 20 1 0.5 2e+05 2e+05 198.927 24942 5 euclidean
386 100 4950 20 1 0.5 2e+05 2e+05 132.678 24290 6 euclidean
387 100 4950 20 1 0.5 2e+05 2e+05 136.188 24614 7 euclidean
388 100 4950 20 1 0.5 2e+05 2e+05 128.15 24252 8 euclidean
389 100 4950 20 1 0.5 2e+05 2e+05 359.77 24864 9 euclidean
390 100 4950 20 1 0.5 2e+05 2e+05 140.835 24894 10 euclidean
391 100 4950 20 1 1 2e+05 2e+05 134.035 30282 1 euclidean
392 100 4950 20 1 1 2e+05 2e+05 140.034 29316 2 euclidean
